title,제작년도,장르,연령,poster_url
감각의 제국 감독판,1976,"드라마, 로맨스/멜로","'청소년관람불가', '101분'",none
욕망의 신세계,2012,"로맨스/멜로, 드라마","'12세이상관람가', '69분'",none
일급 살수,2021,"무협, 액션, 시대극","'15세이상관람가', '93분'",none
탐정사무소 그놈의 얼굴 무삭제판,2016,"미스터리, 스릴러","'15세이상관람가', '60분'",none
전설의 앞차기,2017,액션,"'12세이상관람가', '16분'",none
열아홉살의가을,1983,드라마,"'청소년관람불가', '100분'",none
지나간 어느날,2023,드라마,"'15세이상관람가', '69분'",none
필살의 검,1969,"액션, 시대극",'105분',none
옥합을 깨뜨릴때,1971,드라마,"'청소년관람불가', '83분'",none
류선비의혼례식,2021,로맨스/멜로,"'12세이상관람가', '96분'",none
전철에서 만난 사랑이야기,2012,성인,"'청소년관람불가', '61분'",none
로맨스 바이 로맨스,2023,"로맨스/멜로, 코미디","'12세이상관람가', '119분'",none
캐리 러브콘서트 케이팝,2023,"공연, 뮤지컬","'전체관람가', '51분'",none
"구더기, 흩어지다",2019,"스릴러, 드라마","'15세이상관람가', '18분'",none
오빠가 화났다,2019,"로맨스/멜로, 판타지","'12세이상관람가', '104분'",none
겨울부인,1969,"범죄, 로맨스/멜로","'청소년관람불가', '95분'",none
특등비서,1969,코미디,'100분',none
엘리멘탈,2023,애니메이션,"'전체관람가', '109분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2Fe4ce2c6ae33edb0ef32d5614b367f85c10a7316c"""
스파이더맨  어크로스 더 유니버스,2023,"애니메이션, 액션, 어드벤처","'전체관람가', '139분'","""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F1d3f11f50c660c43f4ba5c94ed3ef7a20c8c6cca"""
할아버지의 사과 나무,2020,애니메이션,'11분',"""https://img1.daumcdn.net/thumb/C256x376/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fmovie%2F3a715da4434d79fb987d7839191b7d83d0d7107e"""
