title,genre,age,poster_url
순천부 살인가면,액션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_C901_SG0000135337-Vertical_LogoY.jpg
신탐 적인걸,무협,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_RT01_RT000000180-Vertical_LogoY.jpg
메가로돈 2+1,액션,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202309/1694503215125505563.jpg
뤽 베송의 마지막 전투,SF/판타지,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_RT01_RT000000187-Vertical_LogoY.jpg
딜문 흡혈종족과의 전투,SF/판타지,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_C3001_C300000012589-Vertical_LogoY.jpg
브레스 374미터,스릴러,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_C901_SG0000156053-Vertical_LogoY.jpg
명탐정 코난 2023,애니메이션,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_SS01_SS000000002-Vertical_LogoY-re.jpg
도둑과 함께 사는 법,드라마,12세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_C901_SG0000148234-Vertical_LogoY.jpg
맛있는 음식 맛있는 사랑,예능,,https://image.wavve.com/v1/thumbnails/480_270_20_80/202202/20220216/b8eae525f59780475e3070fbe1c967d9.jpg
취권 전설의 시작,액션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_C901_SG0000152196-Vertical_LogoY.jpg
인어공주3,음악,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202307/1689930711237352864.jpg
아오야마 고쇼 단편집,애니메이션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_CR01_DN0000011333-Vertical_LogoY.jpg
인어공주1,음악,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/meta/image/202307/1689930711237352864.jpg
바보들의 거짓말,코미디,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_C901_SG0000082740-Vertical_LogoY.jpg
해리포터와마법사의돌 매지컬무비모드,가족,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_CD01_WR0000011681-Vertical_LogoY.jpg
김호중컴백무비빛이나는사람PART1,다큐멘터리,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_C3001_C300000012562-Vertical_LogoY.jpg
파파 앤 대디 2,코미디,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_C901_SG0000149086-Vertical_LogoY-re.jpg
루팡3세스페셜 하리마오의보물을되찾아라,액션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_CR01_DN0000011197-Vertical_LogoY-re.jpg
라이온 킹 시그니처 콜렉션,애니메이션,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2022/GMV_CA01_DY0000011485-Vertical_LogoY.jpg
겁쟁이페달 리 제너레이션,애니메이션,all세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_C901_SG0000105415-Vertical_LogoY-re.jpg
군함도 감독판,액션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_EN01_EN000000382-Vertical_LogoY-re.jpg
런던잡 다이몬드를 훔쳐라,액션,15세 관람가,https://image.wavve.com/v1/thumbnails/480_720_20_80/movieImg/MovieGroup/2023/GMV_C901_SG0000142112-Vertical_LogoY.jpg
도로시게임 플래시2,크리에이터,,https://image.wavve.com/v1/thumbnails/480_720_20_80/BMS/program_poster/202203/F5001_F50000000046-2.jpg
